cell_id,count,mean,std,min,25%,50%,75%,max
8652,22.0,2.5,1.439245834257849,1.0,1.0,2.0,3.0,6.0
8653,22.0,2.1363636363636362,1.2834274997778983,1.0,1.0,2.0,3.0,5.0
8654,19.0,2.736842105263158,1.2401659953032225,1.0,2.0,3.0,4.0,5.0
8655,20.0,2.35,1.1367080817685318,1.0,1.75,2.0,3.0,5.0
8656,22.0,2.772727272727273,1.5715269548108202,1.0,1.25,2.5,4.0,6.0
8657,19.0,2.3684210526315788,1.1647854507156372,1.0,2.0,2.0,3.0,5.0
8658,20.0,1.95,0.9445132413883326,1.0,1.0,2.0,3.0,4.0
8659,19.0,1.5263157894736843,0.611775290321498,1.0,1.0,1.0,2.0,3.0
8660,21.0,1.7142857142857142,0.8451542547285164,1.0,1.0,2.0,2.0,4.0
8661,19.0,1.368421052631579,0.4955946277833521,1.0,1.0,1.0,2.0,2.0
8662,15.0,1.8666666666666667,1.0600988273786194,1.0,1.0,2.0,2.0,5.0
8663,14.0,1.6428571428571428,0.9287827316640651,1.0,1.0,1.0,2.0,4.0
8664,17.0,1.8235294117647058,0.8828430011649196,1.0,1.0,2.0,2.0,4.0
8665,19.0,1.4210526315789473,0.606976978666884,1.0,1.0,1.0,2.0,3.0
8666,19.0,1.631578947368421,0.6839855680567694,1.0,1.0,2.0,2.0,3.0
8667,21.0,2.0,1.0954451150103321,1.0,1.0,2.0,3.0,4.0
8668,18.0,2.0555555555555554,0.8726040960806523,1.0,1.25,2.0,2.75,4.0
8669,18.0,3.0,1.5339299776947408,1.0,2.0,3.0,4.0,6.0
8670,22.0,3.1363636363636362,1.5825071893451241,1.0,2.0,3.0,3.0,8.0
8671,19.0,1.7894736842105263,0.917662935482247,1.0,1.0,2.0,2.0,4.0
8672,21.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0
8673,18.0,2.2777777777777777,1.4874200148759578,1.0,1.0,2.0,3.0,6.0
8674,22.0,2.0,1.2724180205607036,1.0,1.0,2.0,2.75,6.0
8675,19.0,1.631578947368421,0.5972647203701474,1.0,1.0,2.0,2.0,3.0
8676,17.0,2.0,0.8660254037844386,1.0,1.0,2.0,2.0,4.0
8677,20.0,2.25,1.2513150976809202,1.0,1.0,2.0,3.0,6.0
8678,20.0,1.8,0.7677718959499145,1.0,1.0,2.0,2.0,3.0
8679,18.0,1.8888888888888888,0.9002541398626663,1.0,1.0,2.0,3.0,3.0
8680,20.0,1.8,0.8944271909999159,1.0,1.0,2.0,2.0,4.0
8681,22.0,1.8636363636363635,0.8335497554466649,1.0,1.0,2.0,2.0,4.0
8682,22.0,2.1363636363636362,1.0821255338433111,1.0,1.0,2.0,2.75,4.0
8683,22.0,4.409090909090909,1.9918665787478003,2.0,3.0,4.5,5.75,8.0
8684,21.0,2.619047619047619,1.2031704150364766,1.0,2.0,3.0,3.0,6.0
8685,20.0,2.35,1.0894228312566052,1.0,1.0,2.5,3.0,4.0
8686,20.0,2.55,1.2763022245616642,1.0,1.75,3.0,3.0,6.0
8687,20.0,2.45,1.3945382182304158,1.0,1.0,2.0,3.25,5.0
8688,18.0,1.8888888888888888,1.078609610939221,1.0,1.0,1.5,2.75,4.0
8689,22.0,1.9090909090909092,1.019294382875251,1.0,1.0,2.0,2.75,4.0
8690,20.0,1.8,0.6958523739384593,1.0,1.0,2.0,2.0,3.0
8691,17.0,1.8823529411764706,0.9275204136012635,1.0,1.0,2.0,2.0,4.0
8692,18.0,1.8888888888888888,1.078609610939221,1.0,1.0,1.5,2.75,4.0
8693,20.0,2.1,1.119210247874531,1.0,1.0,2.0,3.0,5.0
8694,21.0,2.6666666666666665,1.2382783747337807,1.0,2.0,3.0,3.0,5.0
8695,20.0,2.85,1.4608937423083819,1.0,2.0,2.0,4.0,6.0
8696,22.0,2.0,1.0690449676496976,1.0,1.0,2.0,2.75,4.0
8697,22.0,2.5454545454545454,1.5653167252081766,1.0,1.25,2.0,3.0,7.0
8698,19.0,2.1578947368421053,1.6419215671732124,1.0,1.0,1.0,3.0,6.0
8699,21.0,2.3333333333333335,0.7302967433402214,1.0,2.0,2.0,3.0,4.0
